category,reason,occurrence_count,kind,sha256,source_representative,output_file,clip_top,clip_margin,clip_arrows,clip_other_gameplay,clip_live_action,clip_non_game,vision_faces,vision_humans
01_arrows,arrow_maze_or_clip,33,image,2ac12e571d1db0319ca4ffa0d6aa7a46ab096cb50e53786658e1a117f3a3752f,page_1083595128159871/images/ad_1040687898397831_image_aee13c822028.jpg,01_arrows/x0033__page_1083595128159871__ad_1040687898397831__sha_2ac12e571d1d__ad_1040687898397831_image_aee13c822028.jpg,arrows,0.7452724575996399,0.8436192870140076,0.09834682941436768,0.016260085627436638,0.04177384823560715,0,0
04_non_game_or_uncertain,low_confidence_or_non_game,27,image,ac5e0e7c452cbd2fd9a403510cfd31163347263b87fa41668f11dcbce78813b5,page_1083595128159871/images/ad_1041321418388368_image_d1adcc3f0874.jpg,04_non_game_or_uncertain/x0027__page_1083595128159871__ad_1041321418388368__sha_ac5e0e7c452c__ad_1041321418388368_image_d1adcc3f0874.jpg,other_gameplay,0.04200741648674011,0.23505130410194397,0.33452385663986206,0.13790839910507202,0.29251644015312195,0,0
03_live_action_real_people,vision_or_live_action,27,image,3e373bfd4c69647c506b966c36e0bce231625fdee23c7ff98062ccd27fe13bdf,page_1083595128159871/images/ad_1305391948331975_image_4e2f435d4267.jpg,03_live_action_real_people/x0027__page_1083595128159871__ad_1305391948331975__sha_3e373bfd4c69__ad_1305391948331975_image_4e2f435d4267.jpg,live_action,0.5097667276859283,0.04624311998486519,0.1328563541173935,0.66533362865448,0.15556690096855164,2,2
01_arrows,arrow_maze_or_clip,26,image,3ab17b6db69e3dcab90702ba93a3d614b39230f2777540ac2df2ea139c7ccd24,page_1083595128159871/images/ad_1054250706937811_image_114e50749307.jpg,01_arrows/x0026__page_1083595128159871__ad_1054250706937811__sha_3ab17b6db69e__ad_1054250706937811_image_114e50749307.jpg,arrows,0.5741410404443741,0.7489947080612183,0.17485366761684418,0.01688181795179844,0.05926971510052681,0,0
01_arrows,arrow_maze_or_clip,25,image,a735369fbdc5b13875a6280287d0017e628fc53d12a6cd68a520faacf6461c71,page_1083595128159871/images/ad_1042982064719819_image_bcbf854e49e9.jpg,01_arrows/x0025__page_1083595128159871__ad_1042982064719819__sha_a735369fbdc5__ad_1042982064719819_image_bcbf854e49e9.jpg,non_game,0.053760796785354614,0.33829179406166077,0.191127747297287,0.07852789014577866,0.3920525908470154,0,0
01_arrows,arrow_maze_or_clip,24,image,ec3c906b55547e2eb25418d0c894f3cad5349bd7064f2b3575c7cfa863af1066,page_1083595128159871/images/ad_1006590108796090_image_4baec32a4d34.jpg,01_arrows/x0024__page_1083595128159871__ad_1006590108796090__sha_ec3c906b5554__ad_1006590108796090_image_4baec32a4d34.jpg,arrows,0.7196022346615791,0.8269380927085876,0.10733585804700851,0.017543833702802658,0.048182159662246704,0,0
01_arrows,arrow_maze_or_clip,24,image,65c2db7a9c7e54f9d7feaedef59507682076259eb06671aa464d1b61ca1823c4,page_1083595128159871/images/ad_1024442626600419_image_25dc4545e52b.jpg,01_arrows/x0024__page_1083595128159871__ad_1024442626600419__sha_65c2db7a9c7e__ad_1024442626600419_image_25dc4545e52b.jpg,arrows,0.7268834784626961,0.8342844247817993,0.10740094631910324,0.019643686711788177,0.03867103159427643,0,0
01_arrows,arrow_maze_or_clip,24,image,60734f0babc42b92242969ae794ae54850cde9dc2c0d1d5309fd0a2d3d71915c,page_1083595128159871/images/ad_1028671076271619_image_9a88dadfc234.jpg,01_arrows/x0024__page_1083595128159871__ad_1028671076271619__sha_60734f0babc4__ad_1028671076271619_image_9a88dadfc234.jpg,non_game,0.24456031620502472,0.16939480602741241,0.21787823736667633,0.15028831362724304,0.46243855357170105,0,0
01_arrows,arrow_maze_or_clip,24,image,1eee12fa6e9a959084779da7f54c819a81c75cdb8e8ed2069e06a337d76168d8,page_1083595128159871/images/ad_1336493094606325_image_257de75d1aba.jpg,01_arrows/x0024__page_1083595128159871__ad_1336493094606325__sha_1eee12fa6e9a__ad_1336493094606325_image_257de75d1aba.jpg,arrows,0.6783624067902565,0.7971543669700623,0.11879196017980576,0.02740347571671009,0.05665026605129242,0,0
01_arrows,arrow_maze_or_clip,23,image,bdd8c2ad491035811a8b6abb081564e41b052167fba0585e294a34268bd158a8,page_1083595128159871/images/ad_1016426180763157_image_0763e2efc407.jpg,01_arrows/x0023__page_1083595128159871__ad_1016426180763157__sha_bdd8c2ad4910__ad_1016426180763157_image_0763e2efc407.jpg,arrows,0.6348332315683365,0.7698734402656555,0.13504020869731903,0.03179878368973732,0.06328751891851425,0,0
04_non_game_or_uncertain,low_confidence_or_non_game,23,image,bd48076a38d8de951c83ee1e1b9fe77983426ce1dd4aba5304b1a81a7c758ef6,page_1083595128159871/images/ad_1022071247481712_image_dbea97095319.jpg,04_non_game_or_uncertain/x0023__page_1083595128159871__ad_1022071247481712__sha_bd48076a38d8__ad_1022071247481712_image_dbea97095319.jpg,live_action,0.06733718514442444,0.133671373128891,0.17864885926246643,0.3775084912776947,0.31017130613327026,0,0
