category,kind,occurrenceCount,pageCount,adCount,pages,firstKnownStart,lastKnownStart,knownDateSpanDays,activeKnown,sha256,representative,outputFile,sampleAdIds
01_arrows,image,33,3,33,1083595128159871|1094680553722830|899629066577253,2026-03-31,2026-07-02,94,32,2ac12e571d1db0319ca4ffa0d6aa7a46ab096cb50e53786658e1a117f3a3752f,page_1083595128159871/images/ad_1040687898397831_image_aee13c822028.jpg,01_arrows/x0033__page_1083595128159871__ad_1040687898397831__sha_2ac12e571d1d__ad_1040687898397831_image_aee13c822028.jpg,1040687898397831|1318769836852872|1341435030761370|1478063100479663|1519471689632319|1523788855892152|1644997383251170|1662009345103529|1920951865277326|2400189724120644|2538332536621050|2785779281791703
03_live_action_real_people,image,27,3,27,1083595128159871|1094680553722830|899629066577253,2026-04-14,2026-07-02,80,27,3e373bfd4c69647c506b966c36e0bce231625fdee23c7ff98062ccd27fe13bdf,page_1083595128159871/images/ad_1305391948331975_image_4e2f435d4267.jpg,03_live_action_real_people/x0027__page_1083595128159871__ad_1305391948331975__sha_3e373bfd4c69__ad_1305391948331975_image_4e2f435d4267.jpg,1305391948331975|1324313326333079|1368299631834997|1387479469913680|1544553233719046|1639670343930370|1682577153016645|1752091635974465|1772495443733941|1839085524142906|2019913305278632|2028552154457798
04_non_game_or_uncertain,image,27,3,27,1083595128159871|1094680553722830|899629066577253,2026-04-14,2026-07-02,80,24,ac5e0e7c452cbd2fd9a403510cfd31163347263b87fa41668f11dcbce78813b5,page_1083595128159871/images/ad_1041321418388368_image_d1adcc3f0874.jpg,04_non_game_or_uncertain/x0027__page_1083595128159871__ad_1041321418388368__sha_ac5e0e7c452c__ad_1041321418388368_image_d1adcc3f0874.jpg,1041321418388368|1354164476817288|1525320409145285|1745300666600911|1751103796056188|2060594001196007|2143181036257247|27774719578818300|845647604646290|878442101330588|955193374235979|985614857768734
01_arrows,image,26,3,26,1083595128159871|1094680553722830|899629066577253,2026-04-16,2026-07-02,78,23,3ab17b6db69e3dcab90702ba93a3d614b39230f2777540ac2df2ea139c7ccd24,page_1083595128159871/images/ad_1054250706937811_image_114e50749307.jpg,01_arrows/x0026__page_1083595128159871__ad_1054250706937811__sha_3ab17b6db69e__ad_1054250706937811_image_114e50749307.jpg,1054250706937811|1089212534283514|1338978968368803|1558356802535136|1669930497591874|1744753116870078|1745652516787446|2016293692375343|2044614473123708|3943660925937390|4341986536118325|829955819963252
01_arrows,image,25,3,25,1083595128159871|1094680553722830|899629066577253,2026-06-03,2026-07-02,30,25,a735369fbdc5b13875a6280287d0017e628fc53d12a6cd68a520faacf6461c71,page_1083595128159871/images/ad_1042982064719819_image_bcbf854e49e9.jpg,01_arrows/x0025__page_1083595128159871__ad_1042982064719819__sha_a735369fbdc5__ad_1042982064719819_image_bcbf854e49e9.jpg,1042982064719819|1261583609387486|1324464829243765|1340505108229031|1352549773424142|1377868914219999|1482875270190069|1569597048111705|1711725736684158|1727854721584247|1735385087614512|27365985309707467
01_arrows,image,24,3,24,1083595128159871|1094680553722830|899629066577253,2026-05-01,2026-07-02,63,23,ec3c906b55547e2eb25418d0c894f3cad5349bd7064f2b3575c7cfa863af1066,page_1083595128159871/images/ad_1006590108796090_image_4baec32a4d34.jpg,01_arrows/x0024__page_1083595128159871__ad_1006590108796090__sha_ec3c906b5554__ad_1006590108796090_image_4baec32a4d34.jpg,1006590108796090|1007317301839948|1034151649174400|1045574274686072|1278331884445228|1355756453096083|1525470218965351|1615805110550487|1970224783605825|2156492964892947|3030956170435685|3115525295325010
01_arrows,image,24,3,24,1083595128159871|1094680553722830|899629066577253,2026-03-31,2026-07-02,94,23,65c2db7a9c7e54f9d7feaedef59507682076259eb06671aa464d1b61ca1823c4,page_1083595128159871/images/ad_1024442626600419_image_25dc4545e52b.jpg,01_arrows/x0024__page_1083595128159871__ad_1024442626600419__sha_65c2db7a9c7e__ad_1024442626600419_image_25dc4545e52b.jpg,1024442626600419|1234429515222681|1353188080109606|1357441889816961|1550224776721212|1558960272411390|1571100431290227|1715931239446393|2055369675088096|964092973129510|985965614068681|1530678438527783
01_arrows,image,24,3,24,1083595128159871|1094680553722830|899629066577253,2026-05-14,2026-07-02,50,24,60734f0babc42b92242969ae794ae54850cde9dc2c0d1d5309fd0a2d3d71915c,page_1083595128159871/images/ad_1028671076271619_image_9a88dadfc234.jpg,01_arrows/x0024__page_1083595128159871__ad_1028671076271619__sha_60734f0babc4__ad_1028671076271619_image_9a88dadfc234.jpg,1028671076271619|1034356658988479|1232401955505781|1319279600328638|1322436710009970|1331433925600374|1510280813810088|1695765988424620|1983621319694119|2227153401386618|2239946016820108|2467476087102635
01_arrows,image,24,3,24,1083595128159871|1094680553722830|899629066577253,2026-04-30,2026-07-02,64,24,1eee12fa6e9a959084779da7f54c819a81c75cdb8e8ed2069e06a337d76168d8,page_1083595128159871/images/ad_1336493094606325_image_257de75d1aba.jpg,01_arrows/x0024__page_1083595128159871__ad_1336493094606325__sha_1eee12fa6e9a__ad_1336493094606325_image_257de75d1aba.jpg,1336493094606325|1485544186642904|1551452219922588|1563899935078826|1565174805258526|2018230862399737|2070927847166044|2094340004446767|2230746587757734|2436252686880769|27214984154824578|785698961204102
01_arrows,image,23,3,23,1083595128159871|1094680553722830|899629066577253,2026-05-09,2026-07-02,55,23,bdd8c2ad491035811a8b6abb081564e41b052167fba0585e294a34268bd158a8,page_1083595128159871/images/ad_1016426180763157_image_0763e2efc407.jpg,01_arrows/x0023__page_1083595128159871__ad_1016426180763157__sha_bdd8c2ad4910__ad_1016426180763157_image_0763e2efc407.jpg,1016426180763157|1144604857871452|1265382205673885|1335274425229348|1437600354763957|1489328385984330|1508796140625770|1705024747412605|1958930761468207|2208862879905719|2489086198186246|2710942959286451
04_non_game_or_uncertain,image,23,3,23,1083595128159871|1094680553722830|899629066577253,2026-05-09,2026-07-02,55,23,bd48076a38d8de951c83ee1e1b9fe77983426ce1dd4aba5304b1a81a7c758ef6,page_1083595128159871/images/ad_1022071247481712_image_dbea97095319.jpg,04_non_game_or_uncertain/x0023__page_1083595128159871__ad_1022071247481712__sha_bd48076a38d8__ad_1022071247481712_image_dbea97095319.jpg,1022071247481712|1313910537535471|1592609739246008|1617073986702146|1676846596852681|1687490589219668|1941225093263829|2158960061564560|2435366160279459|26675525555455743|915440908218807|937891012599591
01_arrows,image,22,3,22,1083595128159871|1094680553722830|899629066577253,2026-05-21,2026-07-02,43,22,f438d9f7564d05a3ad157780f1759f0b452db65cfd808fc8cbc3c745b797b2f9,page_1083595128159871/images/ad_1028436006298922_image_51fb2827661e.jpg,01_arrows/x0022__page_1083595128159871__ad_1028436006298922__sha_f438d9f7564d__ad_1028436006298922_image_51fb2827661e.jpg,1028436006298922|1053058110497743|1511324703805130|1523736582464770|1709134607176327|1872309250113948|1907539003238374|36603785115903418|853368941149657|864334362988121|971037522425083|988164817289873
03_live_action_real_people,image,22,3,22,1083595128159871|1094680553722830|899629066577253,2026-04-14,2026-07-02,80,21,58a59cdf49aad4d53e2eaa59696ca96d32caa19720c30afbd9dbd6dd244dc65d,page_1083595128159871/images/ad_1002827675671943_image_dd179bf4a2b0.jpg,03_live_action_real_people/x0022__page_1083595128159871__ad_1002827675671943__sha_58a59cdf49aa__ad_1002827675671943_image_dd179bf4a2b0.jpg,1002827675671943|1280872127227091|1325325099564825|1516666246595457|1579034996940579|1665871561292084|1681242419767509|1700962077601415|1816782536339329|2000051247157237|2625040567910481|4403319956552810
04_non_game_or_uncertain,image,21,3,21,1083595128159871|1094680553722830|899629066577253,2026-04-16,2026-07-02,78,20,62561456fb340274f59f518fe245f2aa0cc33e1a6819b7881ac4c08f004552f3,page_1083595128159871/images/ad_1321915042702813_image_fbae9ba1f33a.jpg,04_non_game_or_uncertain/x0021__page_1083595128159871__ad_1321915042702813__sha_62561456fb34__ad_1321915042702813_image_fbae9ba1f33a.jpg,1321915042702813|1480445093768504|1535108054822135|1540849834257009|1938678996811578|2071784560044068|3036779446668554|3223571851177744|3430889597084392|4474739086105408|929129990151342|934466039298446
04_non_game_or_uncertain,image,21,2,21,1083595128159871|899629066577253,2026-05-23,2026-06-29,38,19,c3812c28e7f9f3b586b52a405b85540e7c104835a92770d8cdb17d82fb0f8b69,page_1083595128159871/images/ad_1007961865309791_image_e212a435cadd.jpg,04_non_game_or_uncertain/x0021__page_1083595128159871__ad_1007961865309791__sha_c3812c28e7f9__ad_1007961865309791_image_e212a435cadd.jpg,1007961865309791|1017323227435331|1039348648624935|1340643718185176|1345464394191538|1353005330258629|1358729415689373|1434202318745413|1491679535416540|1496872214923728|1631915901223601|1681429683121628
01_arrows,image,20,3,20,1083595128159871|1094680553722830|899629066577253,2026-06-05,2026-07-02,28,19,eb8a025d89b49ece860996006043a9de37acd4b0a9137a53156f2320faa5bde9,page_1083595128159871/images/ad_1014713387767741_image_c50b76a2d408.jpg,01_arrows/x0020__page_1083595128159871__ad_1014713387767741__sha_eb8a025d89b4__ad_1014713387767741_image_c50b76a2d408.jpg,1014713387767741|1379187060925375|1534289534916377|1556691509256594|1932476184130430|2088030481744820|2230777997703544|2305323590000131|2435790486908087|26557896837222822|2851197031899088|939764962457499
04_non_game_or_uncertain,image,20,3,20,1083595128159871|1094680553722830|899629066577253,2026-05-20,2026-07-02,44,18,0fb3288a869ce0f663712f6b4e607b00a16455c083158d3224d3e1db7dd02684,page_1083595128159871/images/ad_1005432058607439_image_ccd2d02ea836.jpg,04_non_game_or_uncertain/x0020__page_1083595128159871__ad_1005432058607439__sha_0fb3288a869c__ad_1005432058607439_image_ccd2d02ea836.jpg,1005432058607439|1047740331015725|1483866416314725|1495857569001319|1531551915319275|1711957349958090|1884661832507099|2085938912274851|767211173084335|954660433865290|1580455963492130|835139519476381
04_non_game_or_uncertain,image,20,3,20,1083595128159871|1094680553722830|899629066577253,2026-04-30,2026-07-02,64,20,7bae381d854c0774abfe508c0f4c50bb52f78e6f3a4373db2add64b7ab249e07,page_1083595128159871/images/ad_1009027085439334_image_7a81ba60716c.jpg,04_non_game_or_uncertain/x0020__page_1083595128159871__ad_1009027085439334__sha_7bae381d854c__ad_1009027085439334_image_7a81ba60716c.jpg,1009027085439334|1330831452529106|1435144468374621|1522806119433380|1525342772621075|1700941144479387|1808042623908142|2089612885307051|2182847562501652|2261953827893016|908626142275185|986366220419995
03_live_action_real_people,image,20,2,20,1083595128159871|1094680553722830,2026-05-21,2026-06-24,35,20,1d66236a8fd4a6f96726b0b4682cbe98f081667bd0553b70a6a341fff3b422d0,page_1083595128159871/images/ad_1054892257056337_image_a99153575ccc.jpg,03_live_action_real_people/x0020__page_1083595128159871__ad_1054892257056337__sha_1d66236a8fd4__ad_1054892257056337_image_a99153575ccc.jpg,1054892257056337|1079097998019063|1320216906376674|1331585715846249|1374184731188466|1395903625724764|1888901075830707|2298012214061616|2468238746935630|3899805900314894|4515533785433423|791261260646978
04_non_game_or_uncertain,image,20,2,20,1083595128159871|899629066577253,2026-04-30,2026-07-02,64,20,5c82f43a2dbdd80b131de5fccfce2096c5e2a91f077b978ad2b600a38541ad7a,page_1083595128159871/images/ad_1308429104706320_image_cb662b63bc72.jpg,04_non_game_or_uncertain/x0020__page_1083595128159871__ad_1308429104706320__sha_5c82f43a2dbd__ad_1308429104706320_image_cb662b63bc72.jpg,1308429104706320|1323009065907293|1438328614994742|1661446614901257|1690044085258383|1788843952278269|2181215576023671|2308261552915929|2928481110828563|993372949992327|1000634079199336|1719033986549622
01_arrows,image,19,3,19,1083595128159871|1094680553722830|899629066577253,2026-05-09,2026-06-30,53,19,c44487975056f3a395481b22823bc4296a572dbb399b1fa151b491be75953906,page_1083595128159871/images/ad_1005567365671430_image_d381aa72e153.jpg,01_arrows/x0019__page_1083595128159871__ad_1005567365671430__sha_c44487975056__ad_1005567365671430_image_d381aa72e153.jpg,1005567365671430|1018240087841061|1350558557138160|1378150524165663|1483564996298053|1639723947078610|1700185527739858|1726559688418184|1747841990181504|928380780229853|999939589698230|1399082715459914
01_arrows,image,19,3,19,1083595128159871|1094680553722830|899629066577253,2026-05-08,2026-06-30,54,19,47dbcc6bc3f91cf40295d384e89ca7ea8a4f245996b11499626b2cb3df509806,page_1083595128159871/images/ad_1017744994024938_image_d48d18eb94d1.jpg,01_arrows/x0019__page_1083595128159871__ad_1017744994024938__sha_47dbcc6bc3f9__ad_1017744994024938_image_d48d18eb94d1.jpg,1017744994024938|1031908392704966|1032714862760576|1077666685439791|1226656172805898|1333701618673374|1518037033395564|1553297316511143|4529262047305314|986632857300913|1014706560967110|2350602275426347
01_arrows,image,19,2,19,1083595128159871|1094680553722830,2026-06-03,2026-06-24,22,19,cbbcf324674af0eca3ce24cb1269362db0d7926d4db5fc7e7a7c7b48a1706913,page_1083595128159871/images/ad_1006238478815645_image_b40200597988.jpg,01_arrows/x0019__page_1083595128159871__ad_1006238478815645__sha_cbbcf324674a__ad_1006238478815645_image_b40200597988.jpg,1006238478815645|1010528408118849|1014320107757499|1035410105597442|1167771545530586|1425250989408409|1523302262514985|1535929228050918|1704262560814686|1727844121809327|1729198428263880|3474735539375232
03_live_action_real_people,image,19,2,19,1083595128159871|1094680553722830,2026-05-21,2026-06-24,35,19,ff7d480edafb2dd05bc301209f27e3f58bf66242a90822371003566e63a59fdb,page_1083595128159871/images/ad_1271501528396621_image_c76be7d57a8b.jpg,03_live_action_real_people/x0019__page_1083595128159871__ad_1271501528396621__sha_ff7d480edafb__ad_1271501528396621_image_c76be7d57a8b.jpg,1271501528396621|1325858126305181|1369708658383358|1498441531387506|1527511125488096|1542488017226432|1630485404679334|1701024404276043|1944066256249781|2060260648207618|2062252017659462|2100522654234664
03_live_action_real_people,image,19,2,19,1083595128159871|1094680553722830,2026-06-03,2026-06-30,28,19,fdd78d64453511b339d7d9ce41c8a997663fba05caa7d444ab0c10bb31f0b8e9,page_1083595128159871/images/ad_1314310346941712_image_c1c44bd1ba49.jpg,03_live_action_real_people/x0019__page_1083595128159871__ad_1314310346941712__sha_fdd78d644535__ad_1314310346941712_image_c1c44bd1ba49.jpg,1314310346941712|1325597878926180|1465023322306950|1490682602537726|1542369594181749|1558284592581932|1616625239885561|1619035459576833|1681303826093419|2249236495907873|4321108468136868|881852054346985
