date,adsStarted,activeStarted,inactiveStarted,pageCount,topPages,topTags,sampleAds
2026-03-17,1,0,1,1,Arrow Go(1),arrow_pin(1); challenge(1); puzzle_core(1),2782274618801732
2026-03-19,20,0,20,4,Arrows GO GO(10); Arrows GO - puzzle game(7); Arrow Go(2); Go Arrow(1),arrow_pin(20); emoji_heavy(19); relax(19); brand_arrows(14); challenge(6); puzzle_core(6),1894803367837693|26618072941152225|930236266460264|1455910692665601|2499658730481650|4244403372450391|25619822461028888|4023274964471456|915365927920759|1417534603033895
2026-03-20,13,0,13,3,Arrows GO - puzzle game(7); Go Arrow(5); Arrows GO！(1),arrow_pin(9); emoji_heavy(8); relax(8); brand_arrows(4); challenge(4); puzzle_core(4),1355329563300041|1472357471080011|689320477575136|1246629710406268|1255037122782202|1290519579678890|1328204389118790|971799665509864|3558838407631238|4444067725867228
2026-03-21,12,0,12,1,Arrows GO - escape(12),arrow_pin(12); challenge(12); emoji_heavy(12); puzzle_core(12); relax(12); urgency(12),1277762974336871|1311289104145234|1433431067704141|1467809884929030|1480446300226488|1826925758694586|1949527655651831|2034919350699706|2401093897018976|2700954556947669
2026-03-23,78,0,78,3,Arrows GO - puzzle game(46); Arrows GO - escape(26); Arrows GO GO(6),emoji_heavy(78); urgency(74); arrow_pin(50); relax(42); puzzle_core(36); challenge(32),1056717900855218|1234220818876458|1333491255224681|1429644748902876|1445226953725132|1482609209918712|1620179669128998|1655295358816514|1678134850023242|1680871606261144
2026-03-24,25,0,25,1,Arrows GO GO(25),arrow_pin(25); emoji_heavy(25); puzzle_core(25); relax(25); brand_arrows(21); challenge(15),1273979198042345|1303305738427888|1713399879650738|928180110070616|967216049153972|940970118342444|1662794018239454|1509535070617013|1354476846720694|948909357841808
2026-03-26,4,0,4,1,Arrows GO GO(4),arrow_pin(4); emoji_heavy(4); puzzle_core(4); relax(4); brand_arrows(3); challenge(1),979601298070836|2282585615600596|1555276202231387|1041607028457828
2026-03-29,1,0,1,1,Arrow Go(1),arrow_pin(1); challenge(1); emoji_heavy(1); puzzle_core(1); relax(1); urgency(1),3862846667353351
2026-03-30,4,0,4,2,Arrows GO！(3); Arrow Go(1),arrow_pin(4); challenge(3); puzzle_core(3); emoji_heavy(2); relax(2); urgency(1),933613056227794|1376474324246290|1590531812240255|26274215822232189
2026-03-31,11,10,1,1,Arrows GO！(11),arrow_pin(11); puzzle_core(11); brand_arrows(10); emoji_heavy(10); relax(10); challenge(1),1286612879594743|1889108125138999|822142313625943|3669176046557951|914337984747252|2945086889163718|1497313502023683|4275337582727070|1643548083318634|1208714734670259
2026-04-01,27,26,1,2,Arrows GO！(26); Go Arrow(1),arrow_pin(26); emoji_heavy(26); puzzle_core(26); relax(26); brand_arrows(25); uncategorized(1),1543057783908988|1246673994344119|1305270321748312|1452910349835983|1590258798698196|888897647508252|933976689224084|1854648488541416|1602077201075414|34669016306076410
2026-04-02,19,6,13,3,Arrows GO GO(10); Arrows GO！(6); Go Arrow(3),arrow_pin(18); emoji_heavy(16); relax(16); brand_arrows(15); puzzle_core(9); challenge(3),26897740886496506|1269018365211119|1484383503081843|939929798756026|941707985444832|1478166297380284|3158195194380624|2096464194244132|947958184291726|1442951114238728
2026-04-03,6,0,6,2,Arrows GO GO(5); Go Arrow(1),arrow_pin(5); emoji_heavy(5); relax(5); challenge(4); puzzle_core(4); urgency(4),1561571581603971|1676209620393132|992929143244604|4397492233832431|3188314201360881|921675370474924
2026-04-04,4,0,4,1,Arrows GO GO(4),arrow_pin(4); emoji_heavy(4); relax(4); challenge(3); puzzle_core(3); urgency(3),1356577289821392|916292214505167|979115571464058|2142853053193998
2026-04-05,7,0,7,2,Go Arrow(6); Arrows GO GO(1),arrow_pin(6); emoji_heavy(6); puzzle_core(6); relax(6); brand_arrows(1); challenge(1),1314389517455615|1477480480446239|2432979917217057|2465137720614710|2834217303637204|34609331472048164|1475603467254076
2026-04-06,2,0,2,1,Go Arrow(2),uncategorized(2),4508623069426342|944084001701907
2026-04-07,4,3,1,1,Arrows GO！(4),arrow_pin(4); challenge(4); emoji_heavy(4); puzzle_core(4); urgency(4); brand_arrows(3),1249164484080733|984186484181171|1930426230915148|1871974323468952
2026-04-08,3,0,3,1,Arrow Go(3),arrow_pin(3); challenge(3); emoji_heavy(3); puzzle_core(3); relax(3); urgency(3),2122183518515004|26321007534186868|3899636957005358
2026-04-10,2,0,2,1,Go Arrow(2),arrow_pin(2); challenge(2); emoji_heavy(2); puzzle_core(2); relax(2); urgency(2),1449156790231704|2456168198234477
2026-04-11,21,15,6,1,Arrow Go(21),arrow_pin(21); emoji_heavy(21); puzzle_core(21); relax(21); brand_arrows(15); challenge(3),1276920857241444|1488124636388655|1606856183862363|1634960327823298|1640277823678311|1826437904940601|1854376491940308|2018745612055258|2059438464982915|2191239571668079
2026-04-12,8,4,4,3,Arrow Go(6); Arrows GO！(1); Go Arrow(1),arrow_pin(8); emoji_heavy(8); puzzle_core(8); relax(8); brand_arrows(4); challenge(3),2163729064386436|1223243426274355|1280337093434110|1620586222386529|26168871832796609|4238788476451606|965306156211450|1303802595042741
2026-04-13,3,0,3,2,Go Arrow(2); Arrow Go(1),arrow_pin(3); challenge(3); emoji_heavy(3); puzzle_core(3); relax(3); urgency(3),1304114025051889|951126407880326|1407351811147958
2026-04-14,24,17,7,3,Arrows GO！(15); Arrows GO - puzzle game(7); Arrow Go(2),arrow_pin(24); emoji_heavy(24); relax(24); brand_arrows(21); puzzle_core(20); challenge(18),1506498434242647|2206745000157843|821998224299736|1302606221782345|904331862628742|842243782238038|1394101769427832|976242275354690|1643389496987930|1826832738008615
2026-04-15,2,1,1,2,Arrow Go(1); Arrows GO - puzzle game(1),arrow_pin(2); brand_arrows(2); emoji_heavy(2); relax(2); puzzle_core(1),2393803527792846|1349386473906388
2026-04-16,62,45,17,4,Arrows GO！(42); Arrows GO - puzzle game(10); Arrows GO GO(7); Arrow Go(3),arrow_pin(62); brand_arrows(57); urgency(47); emoji_heavy(43); puzzle_core(20); relax(20),943137435269712|1273286694300941|1726233548745928|25962535050092133|710156118827278|942955841827155|949440687952333|994406299609640|1879617495905949|1443423967260845
2026-04-17,47,15,32,5,Go Arrow(14); Arrows GO - escape(12); Arrows GO GO(10); Arrows GO - puzzle game(8),arrow_pin(47); emoji_heavy(46); relax(46); puzzle_core(35); brand_arrows(33); challenge(28),1476899300646704|3107334756323825|1321587356450539|1338446124791306|1971165986850069|2021631518463645|2200029004152166|2525178934619129|26002549429417123|26922666794018047
2026-04-18,35,13,22,4,Arrows GO - escape(13); Go Arrow(11); Arrows GO GO(9); Arrow Go(2),arrow_pin(35); emoji_heavy(35); relax(35); puzzle_core(34); challenge(26); urgency(26),1479211846976669|840152235793584|2086610128947799|1975266353345506|1273604728279291|1508583740794269|1738548663777181|2068443340684545|3419093214905502|34779648208345271
2026-04-19,36,1,35,4,Arrows GO GO(25); Arrows GO - puzzle game(7); Arrows GO！(2); Go Arrow(2),arrow_pin(35); emoji_heavy(34); relax(34); brand_arrows(28); puzzle_core(20); urgency(9),1008254518430274|1275958517494517|1239731301481275|1439318987389642|800760092761717|1604960703948778|1924421744868635|1735583120736864|4363333140607960|2965021680357801
2026-04-20,10,0,10,1,Arrows GO GO(10),arrow_pin(10); brand_arrows(10); emoji_heavy(10); relax(10); puzzle_core(2),2197916264327020|1502294418162675|1691868278496789|1615990432968100|861395093707288|1947571829458285|947058214714690|1823095798361434|1482387900041479|1280483503475589
2026-04-21,32,30,2,2,Arrows GO！(30); Arrows GO - puzzle game(2),arrow_pin(32); brand_arrows(32); emoji_heavy(31); puzzle_core(31); relax(31); urgency(30),1005683375477329|1308970204419395|1506716177520567|921259184012546|2108377949985654|3953900994910445|2648278392233438|2724798137903632|2011807703023220|793731113538971
2026-04-24,2,0,2,1,Arrow Go(2),arrow_pin(2); challenge(2); puzzle_core(2); relax(2); urgency(2); emoji_heavy(1),1871282893542792|971906965828330
2026-04-27,9,0,9,3,Arrows GO - puzzle game(5); Go Arrow(3); Arrows GO GO(1),arrow_pin(9); emoji_heavy(9); relax(9); puzzle_core(5); brand_arrows(4); challenge(3),2379768822507490|873074051858264|1438821640844283|1488383339611852|1881208532835649|2765022863831181|959189173515016|1287755809443451|810444755466444
2026-04-28,2,0,2,1,Arrows GO - puzzle game(2),arrow_pin(2); brand_arrows(2); emoji_heavy(2); relax(2),908168342273107|1491846852350042
