week,adsStarted,activeStarted,inactiveStarted,pageCount,phaseMix,topPages,topTags
2026-06-29,4061,3940,121,4,Amaze GO(2598); Arrows GO(1463),Amaze GO！(1384); Go Amaze(1031); Arrows GO！(1025); Go Arrow(375); Arrow Go(115),emoji_heavy(3558); puzzle_core(3486); urgency(3359); relax(3324); challenge(3216); brand_amaze(1997); arrow_pin(1550)
2026-06-22,1970,1923,47,4,Amaze GO(1738); Arrows GO(232),Go Amaze(1190); Amaze GO！(313); Amaze Go GO！(228); Arrows GO！(140); Arrows GO GO(77),emoji_heavy(1245); relax(1245); puzzle_core(1236); urgency(1122); challenge(1091); uncategorized(725); arrow_pin(709)
2026-06-15,686,616,70,4,Amaze GO(587); Arrows GO(99),Go Amaze(344); Amaze GO！(129); Arrows GO！(74); Arrow Go(59); Arrows GO GO(50),emoji_heavy(430); relax(430); puzzle_core(412); urgency(362); challenge(360); brand_amaze(285); uncategorized(256)
2026-05-18,563,522,41,5,Arrows GO(563),Arrows GO！(286); Go Arrow(183); Arrow Go(67); Arrows GO GO(18); Arrows GO - puzzle game(9),uncategorized(282); arrow_pin(281); emoji_heavy(276); relax(275); puzzle_core(263); brand_arrows(255); challenge(237)
2026-06-08,552,540,12,4,Amaze GO(488); Arrows GO(64),Go Amaze(468); Arrows GO！(55); Arrow Go(16); Go Arrow(8); Arrows GO GO(5),emoji_heavy(450); relax(449); urgency(421); puzzle_core(405); challenge(336); arrow_pin(231); brand_arrows(224)
2026-06-01,386,341,45,4,Arrows GO(386),Go Arrow(218); Arrow Go(69); Arrows GO！(63); Arrows GO GO(36),uncategorized(260); arrow_pin(126); emoji_heavy(124); puzzle_core(124); relax(124); challenge(120); urgency(120)
2026-05-04,330,295,35,4,Arrows GO(330),Go Arrow(232); Arrows GO！(67); Arrows GO GO(26); Arrows GO - puzzle game(5),uncategorized(168); arrow_pin(162); emoji_heavy(159); relax(159); brand_arrows(156); puzzle_core(133); challenge(128)
2026-04-13,209,92,117,6,Arrows GO(209),Arrows GO！(59); Arrows GO GO(51); Arrows GO - puzzle game(33); Go Arrow(29); Arrows GO - escape(25),arrow_pin(208); emoji_heavy(187); relax(164); brand_arrows(161); puzzle_core(133); urgency(130); challenge(88)
2026-04-27,156,137,19,5,Arrows GO(156),Arrows GO！(142); Arrows GO - puzzle game(7); Go Arrow(3); Arrow Go(2); Arrows GO GO(2),arrow_pin(156); emoji_heavy(156); relax(156); puzzle_core(150); challenge(145); urgency(145); brand_arrows(142)
2026-05-11,142,82,60,5,Arrows GO(142),Arrows GO！(87); Arrows GO - puzzle game(19); Arrows GO GO(19); Go Arrow(14); Arrow Go(3),arrow_pin(131); emoji_heavy(131); puzzle_core(131); relax(131); challenge(113); urgency(113); brand_arrows(85)
2026-05-25,111,110,1,2,Arrows GO(111),Go Arrow(90); Arrows GO！(21),uncategorized(108); arrow_pin(3); challenge(3); emoji_heavy(3); puzzle_core(3); relax(3); urgency(3)
2026-03-23,108,0,108,4,Arrows GO(108),Arrows GO - puzzle game(46); Arrows GO GO(35); Arrows GO - escape(26); Arrow Go(1),emoji_heavy(108); urgency(91); arrow_pin(80); relax(72); puzzle_core(66); challenge(49); brand_arrows(44)
2026-03-30,78,42,36,4,Arrows GO(78),Arrows GO！(46); Arrows GO GO(20); Go Arrow(11); Arrow Go(1),arrow_pin(74); emoji_heavy(69); relax(69); puzzle_core(62); brand_arrows(54); challenge(15); urgency(10)
2026-03-16,46,0,46,6,Arrows GO(46),Arrows GO - puzzle game(14); Arrows GO - escape(12); Arrows GO GO(10); Go Arrow(6); Arrow Go(3),arrow_pin(42); emoji_heavy(39); relax(39); challenge(23); puzzle_core(23); urgency(21); brand_arrows(18)
2026-04-20,44,30,14,4,Arrows GO(44),Arrows GO！(30); Arrows GO GO(10); Arrow Go(2); Arrows GO - puzzle game(2),arrow_pin(44); relax(43); brand_arrows(42); emoji_heavy(42); puzzle_core(35); urgency(32); challenge(31)
2026-04-06,40,22,18,3,Arrows GO(40),Arrow Go(30); Arrows GO！(5); Go Arrow(5),arrow_pin(38); emoji_heavy(38); puzzle_core(38); relax(37); brand_arrows(22); challenge(15); urgency(15)
