pageId,pageNames,creativeKey,ads,activeAds,inactiveAds,firstStart,lastStart,dateSpanDays,maxCollationCount,bodyText,title,landingDomains,sampleAdIds
1003176282885386,Arrows GO GO,2b5f61e3c628f7454c59c169dab3865bc3b76392,11,1,10,2026-04-04,2026-07-02,90,18,"🧩 Tap, clear, and relax with Arrows Go! 🌟✨",Arrows Go! 2026 for Brain Training,play.google.com(11),979115571464058|959944203446272|999856729208627|1039122222001129|1358649972812765|28068637506070777|2219698992215177|996004366469897|1040711375578472|1682461783024808|769145989593813
1003176282885386,Arrows GO GO,55136c6f62bd871f3731e19b5500fdc72d0e3faf,9,1,8,2026-04-03,2026-07-02,91,16,"🧩 Tap, clear, and relax with Arrows Go! 🌟✨",Arrows Go! 2026 for Brain Training,play.google.com(9),1676209620393132|1946649352880936|1303785381260203|1559227922487075|1394054125907872|1727941288236975|1032764052678340|1248600587218552|27758929757080942
1003176282885386,Arrows GO GO,e779acb1de4c9aa6d5674e31a16f9e438a24b66e,8,1,7,2026-04-03,2026-07-02,91,16,"🧩 Tap, clear, and relax with Arrows Go! 🌟✨",Arrows Go! 2026 for Brain Training,play.google.com(8),992929143244604|1314532933337849|936538892739913|1339960854872156|2824865227882007|983882881130071|1032870435988243|1720222705965785
1083595128159871,Go Arrow / Go Amaze,c74d484194119594f905ecd849667ca1a7c90668,7,1,6,2026-03-19,2026-07-02,106,23,"🧩 Tap, clear, and relax with Arrows Go! 🌟✨",Arrows Go! - Your Puzzle Master 2026,play.google.com(7),1455910692665601|1604960703948778|1488383339611852|1653351229263887|1328766032703621|1507557053755211|2039234340136216
1003176282885386,Arrows GO GO,c6b745d0b4e6e46990483c93a449971dbe2e48ec,7,1,6,2026-04-04,2026-07-02,90,17,"🧩 Tap, clear, and relax with Arrows Go! 🌟✨",Arrows Go! 2026 for Brain Training,play.google.com(7),916292214505167|1733586784448588|2223928448383696|898539022578137|1050802824150113|4542819595990942|996865473221778
1083595128159871,Go Arrow / Go Amaze,100e6db4cd5c2103b21f23b00c395e1843e4ff90,5,1,4,2026-04-06,2026-07-02,88,14,,,play.google.com(5),4508623069426342|1530923238387988|910737645347723|2016004942330894|1796694387977504
1003176282885386,Arrows GO GO,fa18a0f844807dbb2163d8b4292c5b9f50de98fb,5,1,4,2026-05-12,2026-07-02,52,12,"🧩 Tap, clear, and relax with Arrows Go! 🌟✨",Arrows Go! - Your Puzzle Master 2026,play.google.com(5),1682426292897844|1529314265350609|1028017052932090|3231402293733533|1834490057527470
1003176282885386,Arrows GO GO,56077ae9618e6ee4865418b917b8d9edf46569ec,5,1,4,2026-03-26,2026-07-02,99,10,"🧩 Tap, clear, and relax with Arrows Go! 🌟✨",Arrows Go! - Your Puzzle Master 2026,play.google.com(5),979601298070836|4464836973753673|1825352381774666|1336774951889793|1671612454110534
1094680553722830,Arrow Go / Amaze Go GO！,568aec900014ed88f1ab5bc517b48385af43c56c,4,1,3,2026-04-11,2026-07-02,83,14,🏹 Find Your Flow with Arrows Go!,Arrows Go! - Your Puzzle Master 2026,play.google.com(4),1276920857241444|837813929378416|1371495231584270|3034576753541154
1094680553722830,Arrow Go / Amaze Go GO！,e2725f7663f4312953fddf4fd46adabdf6c85cd6,4,1,3,2026-04-24,2026-07-02,70,12,🏹 Find Your Flow with Arrows Go!,Arrows Go! - Your Puzzle Master 2026,play.google.com(4),1871282893542792|1013744397969999|1545377867307105|1556956782742151
1003176282885386,Arrows GO GO,47c1ac4cf6c91fe7adf7d65c18d0b2d651e2bcd8,4,1,3,2026-05-21,2026-06-29,40,5,🏹 Find Your Flow with Arrows Go!,Arrows Go! - Your Puzzle Master 2026,play.google.com(4),4798327420403710|2250180909144850|1585076659664443|1381916870418105
1083595128159871,Go Arrow / Go Amaze,e9e986426629f11c16f67ef2595b89073a4692b0,3,1,2,2026-06-29,2026-07-02,4,16,,,play.google.com(3),2220039188819362|1047115564416919|1668608480921157
1083595128159871,Go Arrow / Go Amaze,e420aa2fb1b978eee30988c7b97033b0bd8c2384,3,1,2,2026-06-29,2026-07-02,4,15,,,play.google.com(3),1050990470789142|1022552600702495|1649890579421850
1083595128159871,Go Arrow / Go Amaze,fd972cce5db5b22be002eb7ccdbb316409d7245b,3,1,2,2026-06-29,2026-07-02,4,15,,,play.google.com(3),1569220017930040|1002916329252917|1380448417325363
1083595128159871,Go Arrow / Go Amaze,ca5cb7a22b7f0dd235eb500a533aad169d780c57,3,1,2,2026-04-06,2026-07-02,88,14,,,play.google.com(3),944084001701907|995398809971595|1228592252631795
1094680553722830,Arrow Go / Amaze Go GO！,7e08d52d6bcdc33258bb687541e4f32ddf0a337e,3,1,2,2026-05-13,2026-07-02,51,13,🏹 Find Your Flow with Arrows Go!,Arrows Go! - Your Puzzle Master 2026,play.google.com(3),1988620695070555|846168961880097|1685946042662017
1094680553722830,Arrow Go / Amaze Go GO！,8ab36187a953e99c36e0a7f597c41c696d691cb0,3,1,2,2026-07-01,2026-07-02,2,12,🏹 Find Your Flow with Arrows Go!,Arrows Go! - Your Puzzle Master 2026,play.google.com(3),1051253844007333|1664252101532710|2766417977124900
1003176282885386,Arrows GO GO,60b1d23deb43fdd58c8ce1a44a6092b533b25edd,3,1,2,2026-06-29,2026-07-02,4,11,"🧩 Tap, clear, and relax with Arrows Go! 🌟✨",Arrows Go! - Your Puzzle Master 2026,play.google.com(3),1668842590863995|1365520245486485|2571774033254797
1083595128159871,Go Arrow / Go Amaze,9170b732f6c50576d17a8b9058b96b9f7333761b,2,1,1,2026-06-29,2026-07-02,4,19,"🧩 Tap, clear, and relax with Arrows Go! 🌟✨",Arrows Go! - Your Puzzle Master 2026,play.google.com(2),2080548435886431|28438948422361882
1083595128159871,Go Arrow / Go Amaze,cd1dec18b0ba34857092d81da6a70bd4c68e9489,2,1,1,2026-06-29,2026-07-02,4,15,,,play.google.com(2),1022136296985788|1009827211806432
1083595128159871,Go Arrow / Go Amaze,d4b352289211e6f8c9782289d3fb385ab432a8d6,2,1,1,2026-06-29,2026-07-02,4,14,,,play.google.com(2),1359848499649406|27489395017381464
1083595128159871,Go Arrow / Go Amaze,5803621b00d7114b51460225b5e94e232a0bbd59,2,1,1,2026-06-29,2026-07-02,4,14,,,play.google.com(2),1662530658145324|1370417331625112
1094680553722830,Arrow Go / Amaze Go GO！,3b5f74f03ea8d778188c50e52b88254d82991c65,2,1,1,2026-06-29,2026-07-02,4,13,🏹 Find Your Flow with Arrows Go!,Arrows Go! - Your Puzzle Master 2026,play.google.com(2),27573374628923586|27829044943450975
1094680553722830,Arrow Go / Amaze Go GO！,ba385140ecf8bf9480c3891029a6f20989bcfca9,2,1,1,2026-06-29,2026-07-02,4,12,🏹 Find Your Flow with Arrows Go!,Arrows Go! - Your Puzzle Master 2026,play.google.com(2),1758882175268524|1555061067150949
1094680553722830,Arrow Go / Amaze Go GO！,e85a38977504fe4632a90e6a11f913c46848662f,2,1,1,2026-07-01,2026-07-02,2,12,🏹 Find Your Flow with Arrows Go!,Arrows Go! - Your Puzzle Master 2026,play.google.com(2),1003797332356873|1541391220978207
1094680553722830,Arrow Go / Amaze Go GO！,bebd1ac4627d471d4cac8228d7c3a8fabc1c2c7f,2,1,1,2026-07-01,2026-07-02,2,9,"🧩 Tap, clear, and relax with Arrows Go! 🌟✨","Arrows Go! - Tap, Move, and Clear",play.google.com(2),1410223731164838|2079515066318293
1094680553722830,Arrow Go / Amaze Go GO！,2a1bc5fa88f89096a3328b7a3883a7733d4c28f7,2,1,1,2026-07-01,2026-07-02,2,9,"🧩 Tap, clear, and relax with Arrows Go! 🌟✨","Arrows Go! - Tap, Move, and Clear",play.google.com(2),1996275600996706|1338101487815773
1094680553722830,Arrow Go / Amaze Go GO！,1737157ab025a064829a0128bfd271bf16caebb8,2,1,1,2026-07-01,2026-07-02,2,9,"🧩 Tap, clear, and relax with Arrows Go! 🌟✨","Arrows Go! - Tap, Move, and Clear",play.google.com(2),27750049267923183|1011633515125326
1083595128159871,Go Arrow / Go Amaze,1d16105161a4a5a9be10a10a9210b89d5fe25208,2,1,1,2026-07-01,2026-07-02,2,8,,,play.google.com(2),2188925051945322|1243747041081555
1094680553722830,Arrow Go / Amaze Go GO！,84e01f498e45e5b9090230f854c32fbee89feeed,2,1,1,2026-07-01,2026-07-02,2,8,"🧩 Tap, clear, and relax with Arrows Go! 🌟✨","Arrows Go! - Tap, Move, and Clear",play.google.com(2),1055144313839063|1335636238744502
1094680553722830,Arrow Go / Amaze Go GO！,ff5dc89a16d46a2991eb9cc3421f11e005445a9c,2,1,1,2026-07-01,2026-07-02,2,8,🏹 Find Your Flow with Arrows Go!,Arrows Go! - Your Puzzle Master 2026,play.google.com(2),1241515995704196|1649608786120737
1094680553722830,Arrow Go / Amaze Go GO！,274a4d0ad2935dbed18778154369d049c7054d8b,2,1,1,2026-07-01,2026-07-02,2,8,"🧩 Tap, clear, and relax with Arrows Go! 🌟✨","Arrows Go! - Tap, Move, and Clear",play.google.com(2),1329124468755932|2486002848509378
1094680553722830,Arrow Go / Amaze Go GO！,40303cf47275fdbf4276a250a40471c20ea30514,2,1,1,2026-07-01,2026-07-02,2,8,"🧩 Tap, clear, and relax with Arrows Go! 🌟✨","Arrows Go! - Tap, Move, and Clear",play.google.com(2),1546011120252002|1766450334704329
1094680553722830,Arrow Go / Amaze Go GO！,0c02017932f24b1f4f7403d9455985c06ace0064,2,1,1,2026-07-01,2026-07-03,3,8,🏹 Find Your Flow with Arrows Go!,Arrows Go! - Your Puzzle Master 2026,play.google.com(2),1760003048691037|1967319580652910
1094680553722830,Arrow Go / Amaze Go GO！,047bd4647ae421bb1ac196a4079f119f69ee663d,2,1,1,2026-07-01,2026-07-02,2,8,"🧩 Tap, clear, and relax with Arrows Go! 🌟✨","Arrows Go! - Tap, Move, and Clear",play.google.com(2),2421661885010477|1454211003142109
1094680553722830,Arrow Go / Amaze Go GO！,20a35f078fc4ed779144f9de44883d1d0e7ec58e,2,1,1,2026-07-01,2026-07-02,2,8,"🧩 Tap, clear, and relax with Arrows Go! 🌟✨","Arrows Go! - Tap, Move, and Clear",play.google.com(2),3998990643743676|1585234826556553
1094680553722830,Arrow Go / Amaze Go GO！,cfbe999c6af0ba118a902421d95114d7b663434a,2,1,1,2026-07-01,2026-07-02,2,8,"🧩 Tap, clear, and relax with Arrows Go! 🌟✨","Arrows Go! - Tap, Move, and Clear",play.google.com(2),4476991472513053|2281242772282249
1094680553722830,Arrow Go / Amaze Go GO！,bbda5315eabb2f0a5fc17a80ce602aa1e006f52e,2,1,1,2026-06-05,2026-06-25,21,6,🏹 Find Your Flow with Arrows Go!,Arrows Go! - Your Puzzle Master 2026,itunes.apple.com(2),1979562112676193|1015133350998498
1003176282885386,Arrows GO GO,3729d482318f4168f7ca8ccaee4bc5057fba5f29,2,1,1,2026-06-29,2026-07-02,4,5,"🧩 Tap, clear, and relax with Arrows Go! 🌟✨",Arrows Go! - Your Puzzle Master 2026,play.google.com(2),1039481485626329|1435078615111745
1003176282885386,Arrows GO GO,e478d727f2cd553f2d1e6c97d2b75d576d3d496b,2,1,1,2026-06-29,2026-07-03,5,5,"🧩 Tap, clear, and relax with Arrows Go! 🌟✨",Arrows Go! - Your Puzzle Master 2026,play.google.com(2),2512203875947620|1382986523723931
1083595128159871,Go Arrow / Go Amaze,f71ff13640a707ec66cfee9e59c1a54ea9647332,2,1,1,2026-06-24,2026-07-02,9,2,🏹 Find Your Flow with Amaze GO! 🪐,Amaze GO! - Your Puzzle Master 2026,play.google.com(2),1656008732181860|1712101263245476
1083595128159871,Go Arrow / Go Amaze,7a0fde14965977d504a826d1642fe9873338894f,1,1,0,2026-06-03,2026-06-03,1,13,,,play.google.com(1),2176008136466542
1083595128159871,Go Arrow / Go Amaze,5082d622b98dfd17a7b77c44795f778c92f52e30,1,1,0,2026-06-03,2026-06-03,1,13,,,play.google.com(1),998838462797298
1083595128159871,Go Arrow / Go Amaze,4ed7f1b049a46e221c8eb36886de2b5295696605,1,1,0,2026-06-16,2026-06-16,1,13,,,play.google.com(1),27121721734136575
1083595128159871,Go Arrow / Go Amaze,4ecc1f22189583fe9e8207c00576ea0d099ffc78,1,1,0,2026-06-09,2026-06-09,1,10,🏹 Find Your Flow with Arrows Go!,Arrows Go! - Your Puzzle Master 2026,play.google.com(1),1699632791355015
1083595128159871,Go Arrow / Go Amaze,5473eb3fdbbd61206b559f51c1585ff88e12ce63,1,1,0,2026-05-25,2026-05-25,1,9,,,play.google.com(1),2548162738974549
1083595128159871,Go Arrow / Go Amaze,6e3c96cf041d7c86c4bc541f183619a0de6bf2ad,1,1,0,2026-05-07,2026-05-07,1,7,,,play.google.com(1),1592146655192121
1083595128159871,Go Arrow / Go Amaze,fce7f2eb3c1bd2955a9afc49d953823c2213c01e,1,1,0,2026-06-29,2026-06-29,1,7,🏹 Find Your Flow with Arrows Go!,Arrows Go! - Your Puzzle Master 2026,play.google.com(1),1548019557109371
1083595128159871,Go Arrow / Go Amaze,762dd2ce4d92f1fc2de79ad58477ec425de99c0f,1,1,0,2026-06-29,2026-06-29,1,7,🏹 Find Your Flow with Arrows Go!,Arrows Go! - Your Puzzle Master 2026,play.google.com(1),1746215646714250
1083595128159871,Go Arrow / Go Amaze,0d2e4c72c3520f575e7c55771c02f73fd8c8ac8a,1,1,0,2026-05-25,2026-05-25,1,6,,,play.google.com(1),1349429950420920
1083595128159871,Go Arrow / Go Amaze,e240c987cbd9f21e082cf9b18e80b321d7128034,1,1,0,2026-05-07,2026-05-07,1,5,,,play.google.com(1),1612554469854768
1083595128159871,Go Arrow / Go Amaze,82c86e85fc546209a19d74564e94e97731068661,1,1,0,2026-06-03,2026-06-03,1,5,,,play.google.com(1),1035969772198250
899629066577253,Arrows GO！ / Amaze GO！,ca782e749f8af9709b955dd68b718dfc3e711927,1,1,0,2026-04-30,2026-04-30,1,5,🏹 Find Your Flow with Arrows Go!,Arrows Go! - Your Puzzle Master 2026,app.appsflyer.com(1),2469374690156169
